Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DWG,BOP ASM, PROPANE"|"01-02066-001-DWG-WATT"|yes|"10.1"|""|""|""|""|"C_1"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BLOWER CLAM-ANODE"|"11-02039-001-REVB-WATT"|yes|"10.2"|""|""|""|""|"B_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BLOWER CLAM-CATHODE"|"11-02148-001-REVB-WATT"|yes|"10.3"|""|""|""|""|"B_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ASSY, SIM/FCM PCB MODULE"|"14-02313-001-REVB-WATT"|yes|"10.4"|""|""|""|""|"B_1"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CONN,POWER,CLIP-SET,PP15-45,HEAVY-DUTY"|"1462G1"|yes|"10.5"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FIREWALL"|"17-02033-002-REVB-WATT"|yes|"10.6"|""|""|""|""|"B"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TUBING, ANODE-BOP"|"26-02048-002-REVA-WATT"|yes|"10.7"|""|""|""|""|"A"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TUBING, CATHODE-BOP"|"26-02049-002-REVA-WATT"|yes|"10.8"|""|""|""|""|"A"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BOP GASKET 1"|"27-02098-001-REVA-WATT"|yes|"10.9"|""|""|""|""|"A"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BOP GASKET 2"|"27-02099-001-REVA-WATT"|yes|"10.11"|""|""|""|""|"A"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"J100-QD TO J100-WPC"|"48-02178-001-REVE-WATT"|yes|"10.12"|""|""|""|""|"E"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"BOP TO STACK WALL"|"48-02193-001-REVF-WATT"|yes|"10.13"|""|""|""|""|"F"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"J105-QD TO J105-WPC"|"48-02195-001-REVF-WATT"|yes|"10.14"|""|""|""|""|"F"|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CLAMP,WORM-DRIVE,3/4""-1-1/4""ID,430-SS"|"5076K15"|yes|"10.15"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TUBING,RED,0.167""ID,1/4""OD,OPAQUE,NLYON"|"51185K41"|yes|"10.16"|""|""|""|""|""|"Electronic"|""|12|""|"UseSpecific"|""|"in"
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TUBING,RED,0.167""ID,1/4""OD,OPAQUE,NLYON"|"51185K41"|yes|"10.17"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|"in"
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CLAMP,SNAP-GRIP,63/64""-1-7/64""ID,WHITE"|"5246K71"|yes|"10.18"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,#4,0.125""ID,0.312""OD,316-SS"|"90107A005"|yes|"10.19"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,INT-STAR,#6,0.141""ID,BRONZE"|"92165A007"|yes|"10.20"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,#6,0.147""ID,0.312""OD,BRASS"|"92916A325"|yes|"10.21"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"GROMMET,1/4""ID,9/16""DIA,BUNA-N-RUBBER,BL"|"9307K181"|yes|"10.22"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"NUT,HEX,6-32,1/4""W,3/32""H,BRASS"|"95130A120"|yes|"10.23"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,SEMS,PHIL,4-40X5/16"",INT-WASHER,SS"|"95345A025"|yes|"10.24"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"WATT-12V"|"01-02066-001-REVB-WATT"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,THREAD-FORM,4-20X3/8""L,SS"|"99461A120"|yes|"10.25"|""|""|""|""|""|"Electronic"|""|4|""|"UseSpecific"|""|""
"REI"|"019-100-NOREV-REI"|"-_1"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"INTERNAL LABLE FILE"|"019-100-REVX.U6.R0.LBL"|yes|"5.1"|""|""|""|""|"0"|"Generic"|""|1|""|"UseSpecific"|""|""
"REI"|"019-100-NOREV-REI"|"-_1"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"INTERNAL PROGRAM FILE"|"019-100.BP"|yes|"10.1"|""|""|""|""|"NO REV"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"REI"|"019-100-NOREV-REI"|"-_1"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PROGRAMMED PARTS APPROVAL FORM"|"019-100-REV-_1.DOC"|yes|"10.2"|""|""|""|""|"-_1"|"Generic"|""|0|""|"UseSpecific"|""|"ref"
"REI"|"019-100-NOREV-REI"|"-_1"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"IC,MCU,8BIT,768BYTE,EPROM,3.3/5V,8PDIP"|"PIC12C508A-04I/P"|yes|"10.3"|""|""|""|""|""|"Electronic"|""|1|""|"UseSpecific"|""|""
"AMF"|"026001002-REVB-AMF"|"B"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LEXAN CLEAR 1/8 SHT G.E. MARGARD"|"608E0201"|no|"10.1"|""|""|""|""|""|"Electronic"|""|31.071|""|"UseSpecific"|""|"sqi"
"AMF"|"026001006-AMF"|""|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LEXAN CLEAR 1/8 SHT G.E. MARGARD"|"608E0201"|no|"10.1"|""|""|""|""|""|"Electronic"|""|31.071|""|"UseSpecific"|""|"sqi"
